MIM_Raw,Title,Comparison_Status,Old_Rank_200_export,New_Rank_1000_export,Rank_Shift_New_Minus_Old,Field_Values_Changed
#617347,"HYPERLIPOPROTEINEMIA, TYPE III",Shared,175,175,0,false
#615511,MYOPATHY DUE TO MYOADENYLATE DEAMINASE DEFICIENCY; MMDD,Shared,176,176,0,false
*602544,PARKIN RBR E3 UBIQUITIN PROTEIN LIGASE; PRKN,Shared,177,177,0,false
#105150,"CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED",Shared,178,178,0,false
%605552,ABDOMINAL OBESITY-METABOLIC SYNDROME 1; AOMS1,Shared,179,179,0,false
608223,ASPIRIN RESISTANCE,Shared,180,180,0,false
#115197,"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 4; CMH4",Shared,181,181,0,false
#621331,BRAIN SMALL VESSEL DISEASE 5 WITH OSTEOPOROSIS; BSVD5,Shared,182,182,0,false
*118930,SECRETOGRANIN II; SCG2,Shared,183,183,0,false
*100650,ALDEHYDE DEHYDROGENASE 2 FAMILY MEMBER; ALDH2,Shared,184,184,0,false
*120700,COMPLEMENT COMPONENT 3; C3,Shared,185,185,0,false
#145500,"HYPERTENSION, ESSENTIAL",Shared,186,186,0,false
*190198,NOTCH RECEPTOR 1; NOTCH1,Shared,187,187,0,false
*164011,"NUCLEAR FACTOR KAPPA-B, SUBUNIT 1; NFKB1",Shared,188,188,0,false
*600831,DEATH-ASSOCIATED PROTEIN KINASE 1; DAPK1,Shared,189,189,0,false
#611773,"ANGIOPATHY, HEREDITARY, WITH NEPHROPATHY, ANEURYSMS, AND MUSCLE CRAMPS; HANAC",Shared,190,190,0,false
#619872,IMMUNODEFICIENCY 101 (VARICELLA ZOSTER VIRUS-SPECIFIC); IMD101,Shared,191,191,0,false
*621451,SMALL NUCLEOLAR RNA HOST GENE 12; SNHG12,Shared,192,192,0,false
#176670,HUTCHINSON-GILFORD PROGERIA SYNDROME; HGPS,Shared,193,193,0,false
*176880,PROTEIN S; PROS1,Shared,194,194,0,false
#236250,"HOMOCYSTINURIA DUE TO DEFICIENCY OF N(5,10)-METHYLENETETRAHYDROFOLATE REDUCTASE ACTIVITY",Shared,195,195,0,false
#311250,"ORNITHINE TRANSCARBAMYLASE DEFICIENCY, HYPERAMMONEMIA DUE TO",Shared,196,196,0,false
*133430,ESTROGEN RECEPTOR 1; ESR1,Shared,197,197,0,false
*607918,SELENOPROTEIN S; SELENOS,Shared,198,198,0,false
*605565,RESISTIN; RETN,Shared,199,199,0,false
*134370,COMPLEMENT FACTOR H; CFH,Shared,200,200,0,false
*124020,"CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 19; CYP2C19",New_due_to_higher_export_limit,,201,,false
#235400,"HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 1; AHUS1",New_due_to_higher_export_limit,,202,,false
*176804,"PROSTAGLANDIN E RECEPTOR 2, EP2 SUBTYPE; PTGER2",New_due_to_higher_export_limit,,203,,false
*602866,"ACID-SENSING ION CHANNEL, SUBUNIT 1; ASIC1",New_due_to_higher_export_limit,,204,,false
*603219,"POTASSIUM CHANNEL, SUBFAMILY K, MEMBER 2; KCNK2",New_due_to_higher_export_limit,,205,,false
*102776,ADENOSINE A2A RECEPTOR; ADORA2A,New_due_to_higher_export_limit,,206,,false
*147780,INTERLEUKIN 4; IL4,New_due_to_higher_export_limit,,207,,false
*151430,BCL2 APOPTOSIS REGULATOR; BCL2,New_due_to_higher_export_limit,,208,,false
#210200,3-METHYLCROTONYL-CoA CARBOXYLASE 1 DEFICIENCY; MCC1D,New_due_to_higher_export_limit,,209,,false
*153620,MACROPHAGE MIGRATION INHIBITORY FACTOR; MIF,New_due_to_higher_export_limit,,210,,false
*141250,HEME OXYGENASE 1; HMOX1,New_due_to_higher_export_limit,,211,,false
*601690,"PHOSPHOLIPASE A2, GROUP VII; PLA2G7",New_due_to_higher_export_limit,,212,,false
*114078,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE II-ALPHA; CAMK2A,New_due_to_higher_export_limit,,213,,false
*606518,HEPATITIS A VIRUS CELLULAR RECEPTOR 1; HAVCR1,New_due_to_higher_export_limit,,214,,false
#266150,PYRUVATE CARBOXYLASE DEFICIENCY,New_due_to_higher_export_limit,,215,,false
#611126,"MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 20; MC1DN20",New_due_to_higher_export_limit,,216,,false
*164730,AKT SERINE/THREONINE KINASE 1; AKT1,New_due_to_higher_export_limit,,217,,false
*601185,STANNIOCALCIN 1; STC1,New_due_to_higher_export_limit,,218,,false
#618567,MITOCHONDRIAL DNA DEPLETION SYNDROME 17; MTDPS17,New_due_to_higher_export_limit,,219,,false
#185300,STURGE-WEBER SYNDROME; SWS,New_due_to_higher_export_limit,,220,,false
#600376,"TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 2; HHT2",New_due_to_higher_export_limit,,221,,false
#615761,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 23; MRD23",New_due_to_higher_export_limit,,222,,false
#616028,ADAMS-OLIVER SYNDROME 5; AOS5,New_due_to_higher_export_limit,,223,,false
%610655,"TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 4; HHT4",New_due_to_higher_export_limit,,224,,false
