Gene_Rank,Gene_Symbol,UniProt_Accession,Source_ChEMBL_IDs,Source_Target_Names,Source_Target_Types,Source_Target_Entity_Count,Component_Relationship,Complex_Derived,Chimeric_Derived,Mutation_Context,D_Score,I_Score,Max_Activity_Score,PASS_Evidence_Type,Raw_Evidence_Record_Count,Score_Band_Descriptive,Prediction_Included,Evidence_Type,Organism,Tax_ID,Query_Compound,PubChem_CID,Source_Database,Source_Version,Retrieval_Date,Activity_Score_Interpretation,Pharmacologic_Direction,Source_URL
49,BCL2A1,Q16548,CHEMBL6044,Bcl-2-related protein A1,SINGLE PROTEIN,1,single_protein,false,false,,0.0682,,0.0682,D,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
50,SF3B3,Q15393,CHEMBL1250378,Splicing factor 3B subunit 3,SINGLE PROTEIN,1,single_protein,false,false,,,0.0661,0.0661,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
51,PRKCE,Q02156,CHEMBL3582,Protein kinase C epsilon type,SINGLE PROTEIN,1,single_protein,false,false,,0.0631,0.0372,0.0631,D+I,2,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
52,SIRT6,Q8N6T7,CHEMBL2163182,NAD-dependent protein deacylase sirtuin-6,SINGLE PROTEIN,1,single_protein,false,false,,0.063,,0.063,D,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
53,BACE1,P56817,CHEMBL4822,Beta-secretase 1,SINGLE PROTEIN,1,single_protein,false,false,,0.0612,,0.0612,D,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
54,CXCR1,P25024,CHEMBL4029,C-X-C chemokine receptor type 1,SINGLE PROTEIN,1,single_protein,false,false,,0.0573,,0.0573,D,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
55,AR,P10275,CHEMBL1871,Androgen receptor,SINGLE PROTEIN,1,single_protein,false,false,,0.0571,,0.0571,D,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
56,ACHE,P22303,CHEMBL220,Acetylcholinesterase,SINGLE PROTEIN,1,single_protein,false,false,,0.0566,,0.0566,D,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
57,CISD1,Q9NZ45,CHEMBL1795168,CDGSH iron-sulfur domain-containing protein 1,SINGLE PROTEIN,1,single_protein,false,false,,0.0533,,0.0533,D,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
58,SLC22A12,Q96S37,CHEMBL6120,Solute carrier family 22 member 12,SINGLE PROTEIN,1,single_protein,false,false,,0.0516,,0.0516,D,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
